state,political_will,technical_capacity,social_media,zone,covid_cases,vaxed,fb_reach,hcp_reach,hcp_reach_female,population,poverty_index,fb_penetration
Lagos,✓✓✓,✓✓✓,✓✓✓,south west,105698.0,1.14,8400000,33000,12000,14900000,0.02,0.56
Federal Capital Territory,✓✓✓,✓✓✓,✓,north central,33740.0,1.87,2400000,8100,2600,4800000,0.12,0.5
Oyo,✓✓,✓✓,✓,south west,13925.0,0.66,1800000,6600,2500,8500000,0.08,0.21
Edo,✓✓,✓,✓ ✓,south south,10227.0,0.41,1200000,5900,1900,4400000,0.09,0.27
Rivers,✓✓✓,✓✓✓,✓✓✓,south south,12035.0,0.33,1400000,5700,1900,7800000,0.06,0.18
Ogun,✓,⦸,✓✓,south west,8719.0,0.6,910000,4300,1800,5900000,0.05,0.15
Delta,✓,⦸,✓✓✓,south south,6264.0,0.38,1000000,4200,1400,5800000,0.08,0.17
Kano,⦸,⦸,✓,north west,⦸,0.53,2000000,2900,1000,13600000,0.37,0.15
Kaduna,⦸,⦸,✓ ✓,north west,⦸,0.64,1300000,2700,1000,8800000,0.31,0.15
Osun,✓✓,✓✓,✓✓,south west,4258.0,0.6,1100000,2700,1000,4800000,0.08,0.23
Abia,✓,⦸,✓ ✓,south east,3301.0,0.43,1000000,2700,1000,3900000,0.04,0.26
Enugu,✓✓,✓✓,✓ ✓,south east,4755.0,0.33,740000,2400,1000,4400000,0.09,0.17
Ondo,✓,⦸,✓✓✓,south west,6583.0,0.51,730000,2400,1000,4700000,0.09,0.16
Anambra,✓✓,✓✓,✓✓✓,south east,2243.0,0.26,750000,2300,1000,5900000,0.03,0.13
Imo,✓,⦸,✓,south east,2738.0,0.37,530000,2000,1000,5500000,0.05,0.1
Kwara,✓✓✓,✓✓,✓ ✓,north central,5282.0,0.69,630000,1800,1000,3400000,0.21,0.19
Akwa Ibom,✓,⦸,✓✓✓,south south,2339.0,0.34,480000,1700,1000,5700000,0.09,0.08
Plateau,✓,⦸,⦸,north central,15660.0,0.5,610000,1500,1000,4400000,0.26,0.14
Cross River,✓,⦸,✓✓✓,south south,521.0,0.44,440000,1400,1000,4000000,0.12,0.11
Kogi,✓✓,✓✓,✓ ✓,north central,17.0,0.36,490000,1000,1000,4800000,0.15,0.1
Niger,✓✓✓,✓✓✓,✓ ✓,north central,1492.0,0.47,450000,1000,1000,5700000,0.38,0.08
Benue,✓✓✓,✓✓,✓ ✓,north central,2350.0,0.57,410000,1000,1000,5800000,0.17,0.07
Borno,⦸,⦸,✓ ✓,north east,⦸,0.45,380000,1000,1000,6600000,0.34,0.06
Adamawa,⦸,⦸,✓ ✓,north east,⦸,0.5,360000,1000,1000,4400000,0.33,0.08
Bauchi,⦸,⦸,✓ ✓,north east,⦸,0.41,340000,1000,1000,6700000,0.45,0.05
Katsina,⦸,⦸,✓ ✓,north west,⦸,0.4,320000,1000,1000,8100000,0.4,0.04
Sokoto,⦸,⦸,✓ ✓,north west,⦸,0.44,270000,1000,1000,5000000,0.55,0.05
Ekiti,✓,⦸,✓,south west,1501.0,0.62,240000,1000,1000,3500000,0.09,0.07
Gombe,⦸,⦸,✓ ✓,north east,⦸,0.54,210000,1000,1000,3400000,0.48,0.06
Nasarawa,✓✓✓,✓✓✓,✓✓✓,north central,3324.0,1.21,210000,1000,1000,2600000,0.16,0.08
Taraba,⦸,⦸,✓ ✓,north east,⦸,0.45,190000,1000,1000,3000000,0.37,0.06
Yobe,⦸,⦸,✓ ✓,north east,⦸,0.52,160000,1000,1000,3600000,0.54,0.04
Bayelsa,✓✓✓,✓,✓,south south,1695.0,0.21,150000,1000,1000,2500000,0.12,0.06
Zamfara,⦸,⦸,✓ ✓,north west,⦸,0.41,140000,1000,1000,4600000,0.48,0.03
Ebonyi,✓,⦸,✓ ✓,south east,4045.0,0.33,140000,1000,1000,3000000,0.19,0.05
Kebbi,⦸,⦸,✓ ✓,north west,⦸,0.39,120000,1000,1000,4500000,0.59,0.03
Jigawa,⦸,⦸,✓ ✓,north west,⦸,0.33,100000,1000,1000,5900000,0.49,0.02
